coast	15.0	16.0
coated	12.0	nan
cob	14.0	nan
cochina	11.0	nan
cochon	7.0	nan
cock	7.0	nan
cocktail	14.0	nan
cocktails	14.0	nan
coco	13.0	14.0
coconut	12.0	nan
cod	10.0	nan
code	12.0	nan
coffee	15.0	nan
coffeehouse	8.0	8.0
coffees	11.0	nan
coins	7.0	nan
coke	8.0	8.0
cold	16.0	nan
college	10.0	10.0
color	13.0	15.0
colored	13.0	nan
colorful	13.0	15.0
colors	13.0	nan
columbus	9.0	9.0
com	11.0	nan
combat	9.0	nan
combination	10.0	nan
combinations	10.0	nan
come	13.0	13.0
comfort	12.0	14.0
comfortable	12.0	nan
comforting	12.0	nan
coming	13.0	nan
commissary	9.0	nan
community	8.0	8.0
companion	9.0	9.0
company	8.0	nan
complements	14.0	nan
completely	14.0	nan
con	13.0	nan
concord	12.0	14.0
condiment	16.0	nan
confessions	10.0	nan
confused	9.0	nan
connections	4.0	nan
conscious	14.0	nan
consider	14.0	nan
consistency	15.0	nan
consistent	15.0	nan
consumers	16.0	nan
container	12.0	nan
continues	12.0	nan
control	16.0	nan
controversial	8.0	nan
convenience	12.0	nan
convenient	12.0	6.0
converse	8.0	nan
convince	12.0	nan
cook	11.0	nan
cookbook	12.0	nan
cooked	4.0	nan
cooker	13.0	nan
cookie	11.0	nan
cookies	9.0	nan
cookin	11.0	nan
cooking	8.0	nan
cooks	11.0	nan
coolest	11.0	nan
cooper	11.0	9.0
coping	11.0	nan
core	11.0	9.0
coriander	10.0	nan
corn	13.0	10.0
cornbread	11.0	nan
corndogs	7.0	nan
corned	14.0	nan
corner	11.0	11.0
cornichons	8.0	nan
cornish	7.0	nan
corny	8.0	nan
correct	10.0	nan
cosi	9.0	9.0
cosmo	9.0	nan
costa	10.0	7.0
costs	9.0	nan
costumer	16.0	nan
cotta	9.0	nan
cottage	13.0	nan
council	13.0	nan
count	12.0	nan
countries	13.0	nan
country	13.0	nan
counts	12.0	nan
cous	9.0	nan
couscous	12.0	nan
cousin	10.0	10.0
cove	10.0	nan
covered	8.0	nan
covers	8.0	nan
cow	14.0	nan
coworkers	13.0	nan
coyote	11.0	nan
coz	9.0	9.0
cozy	9.0	9.0
crab	13.0	nan
crabbing	13.0	nan
crack	13.0	nan
cracker	13.0	nan
crackerbarrel	12.0	nan
crackers	10.0	nan
crafting	8.0	nan
craftsman	8.0	nan
craisins	12.0	12.0
cranberries	15.0	nan
cranberry	15.0	nan
crap	14.0	nan
crappiest	9.0	nan
crave	10.0	nan
craving	10.0	nan
cravings	10.0	nan
cray	13.0	nan
crazy	10.0	12.0
cream	14.0	13.0
create	13.0	13.0
created	13.0	nan
creating	13.0	nan
creation	12.0	nan
creative	11.0	14.0
creatives	11.0	nan
creature	9.0	nan
creatures	9.0	nan
cred	16.0	nan
crema	9.0	7.0
creme	13.0	nan
creole	13.0	nan
crepes	10.0	nan
crescent	8.0	8.0
crime	13.0	nan
crimini	16.0	nan
crisp	13.0	nan
crispy	13.0	16.0
crna	14.0	nan
crock	12.0	15.0
croissant	9.0	nan
croissants	9.0	nan
crop	11.0	nan
croque	1.0	nan
crossed	10.0	nan
croutons	10.0	nan
crumbled	13.0	nan
crumbs	11.0	nan
crunch	14.0	nan
crunchy	11.0	nan
crush	16.0	nan
crushed	16.0	nan
crushin	16.0	nan
crusin	10.0	nan
crust	10.0	nan
crusted	10.0	nan
crusty	12.0	nan
cuban	11.0	nan
cubanasocial	9.0	nan
